                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81115,                 2.9252,                 1.0914,                0.44168,                0.61066,                0.46549,                0.38027,                0.67627,                  1.968,                0.93005,             0.00020747,             0.00020747,             0.00020747
                      2,                0.76134,                 1.8484,                 1.0502,                0.60535,                0.69915,                0.63249,                 0.5367,                0.60723,                 1.4946,                0.92366,             0.00040551,             0.00040551,             0.00040551
                      3,                0.76256,                 1.6108,                 1.0473,                 0.6522,                0.71664,                 0.7241,                0.59369,                0.69869,                 1.3088,                0.92563,             0.00059324,             0.00059324,             0.00059324
                      4,                 0.7491,                 1.4208,                 1.0325,                  0.719,                0.74017,                0.77564,                0.66019,                0.59606,                 1.1491,                0.89166,             0.00057859,             0.00057859,             0.00057859
                      5,                0.73128,                 1.2998,                 1.0246,                0.71319,                 0.7964,                0.77747,                0.64714,                0.61463,                 1.0889,                0.89018,             0.00057859,             0.00057859,             0.00057859
                      6,                0.70036,                 1.2132,                 1.0016,                0.71551,                0.83718,                0.77937,                0.65287,                0.62581,                0.99124,                0.89678,             0.00056313,             0.00056313,             0.00056313
                      7,                0.69868,                  1.128,                 1.0091,                0.72654,                0.83972,                0.79565,                 0.6591,                0.61228,                0.86508,                0.88679,             0.00054766,             0.00054766,             0.00054766
                      8,                0.67845,                  1.039,                 1.0012,                0.72533,                0.87515,                0.80376,                0.66585,                0.63715,                0.87051,                0.90044,             0.00053219,             0.00053219,             0.00053219
                      9,                0.67764,                 1.0173,                0.99628,                0.76259,                0.88956,                0.82971,                 0.7061,                0.57488,                0.74047,                0.87551,             0.00051672,             0.00051672,             0.00051672
                     10,                0.65779,                0.95766,                0.99162,                0.73875,                0.85885,                0.83989,                0.70637,                0.58752,                0.75473,                0.88256,             0.00050125,             0.00050125,             0.00050125
                     11,                0.64918,                0.91777,                0.98915,                0.76231,                0.89155,                0.84259,                0.69866,                 0.6341,                0.71221,                0.89377,             0.00048578,             0.00048578,             0.00048578
                     12,                0.65145,                0.90473,                0.99284,                0.76902,                0.88539,                0.84582,                0.71372,                0.60476,                0.67624,                0.88076,             0.00047031,             0.00047031,             0.00047031
                     13,                0.64284,                0.86321,                0.98848,                0.77318,                0.83898,                0.84309,                0.69882,                0.63045,                0.70612,                0.88256,             0.00045484,             0.00045484,             0.00045484
                     14,                 0.6359,                0.84115,                0.97886,                 0.7823,                0.89346,                0.87394,                0.75256,                0.55135,                0.62949,                  0.865,             0.00043937,             0.00043937,             0.00043937
                     15,                0.62048,                0.81045,                0.97731,                0.79962,                0.87114,                0.87528,                0.74369,                0.58875,                0.62512,                0.87117,             0.00042391,             0.00042391,             0.00042391
                     16,                0.60048,                0.78451,                0.96728,                0.76173,                0.88881,                0.86231,                0.73072,                0.58797,                0.64594,                 0.8682,             0.00040844,             0.00040844,             0.00040844
                     17,                0.61309,                0.79031,                0.96902,                  0.801,                0.87657,                 0.8675,                0.74065,                0.56025,                0.61131,                0.86148,             0.00039297,             0.00039297,             0.00039297
                     18,                 0.5973,                0.75009,                0.96191,                0.84746,                0.85019,                0.88637,                0.76632,                 0.5631,                0.59314,                0.86183,              0.0003775,              0.0003775,              0.0003775
                     19,                0.59705,                0.74595,                 0.9627,                0.77794,                0.86954,                0.86374,                0.74006,                0.56413,                0.59934,                0.85759,             0.00036203,             0.00036203,             0.00036203
                     20,                0.60126,                0.73209,                0.96707,                0.77411,                0.90885,                0.86368,                0.73004,                0.57841,                0.58526,                0.85251,             0.00034656,             0.00034656,             0.00034656
                     21,                0.59456,                0.71225,                0.96442,                0.80818,                0.89488,                0.88121,                0.75381,                0.53857,                0.56189,                0.85276,             0.00033109,             0.00033109,             0.00033109
                     22,                0.58166,                0.69112,                0.95702,                0.80557,                0.87655,                0.88465,                0.75758,                0.54233,                0.56093,                0.85305,             0.00031562,             0.00031562,             0.00031562
                     23,                0.58018,                0.69664,                0.95556,                0.80803,                 0.8951,                 0.8893,                0.75904,                0.56339,                0.57011,                0.86646,             0.00030016,             0.00030016,             0.00030016
                     24,                0.56824,                0.66321,                0.95786,                0.81702,                0.88884,                0.88358,                0.76004,                 0.5528,                 0.5664,                0.85925,             0.00028469,             0.00028469,             0.00028469
                     25,                0.56556,                0.65835,                0.95415,                 0.8274,                0.86876,                0.89221,                0.76005,                0.58406,                0.55106,                0.87625,             0.00026922,             0.00026922,             0.00026922
                     26,                0.56522,                0.65621,                0.95325,                0.84081,                0.85493,                0.89006,                0.75716,                0.56945,                0.53282,                0.86013,             0.00025375,             0.00025375,             0.00025375
                     27,                0.55823,                0.65745,                0.95153,                 0.8176,                0.87443,                0.88331,                 0.7459,                0.57634,                0.55265,                0.86301,             0.00023828,             0.00023828,             0.00023828
                     28,                 0.5591,                0.63388,                0.94747,                0.82462,                0.88826,                0.89217,                0.76675,                0.54285,                0.53434,                0.85429,             0.00022281,             0.00022281,             0.00022281
                     29,                0.55062,                0.60105,                0.94602,                0.81332,                 0.9121,                0.90225,                 0.7539,                0.61423,                0.52026,                0.86879,             0.00020734,             0.00020734,             0.00020734
                     30,                0.54064,                0.60224,                0.94586,                 0.8387,                0.86307,                0.89482,                0.75913,                0.57601,                0.52078,                0.86029,             0.00019188,             0.00019188,             0.00019188
                     31,                0.51523,                0.52396,                0.88699,                  0.841,                0.86874,                0.90671,                0.77897,                0.55167,                0.51059,                0.85189,             0.00017641,             0.00017641,             0.00017641
                     32,                0.50798,                0.49827,                0.88767,                0.81069,                  0.908,                 0.9027,                0.77141,                0.55424,                0.52745,                0.85217,             0.00016094,             0.00016094,             0.00016094
                     33,                0.49948,                0.47676,                0.88508,                0.87508,                0.84135,                0.90277,                0.77441,                0.54737,                0.50588,                0.85432,             0.00014547,             0.00014547,             0.00014547
                     34,                0.48987,                0.47003,                0.88111,                0.84994,                0.87573,                0.90729,                 0.7793,                0.54533,                0.49872,                0.85424,                0.00013,                0.00013,                0.00013
                     35,                0.48372,                0.46679,                0.88104,                0.82279,                0.87062,                0.90382,                0.77487,                0.56362,                0.51024,                 0.8627,             0.00011453,             0.00011453,             0.00011453
                     36,                 0.4803,                0.44548,                0.88261,                0.84014,                0.89529,                0.90651,                0.77964,                0.54316,                0.50184,                0.85717,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     37,                0.47746,                0.44038,                0.87676,                0.86075,                0.88176,                0.91279,                0.77742,                0.57676,                0.49382,                0.86749,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     38,                0.46994,                0.42239,                0.87868,                 0.8333,                0.89713,                0.90981,                0.78347,                0.56068,                0.49007,                0.86221,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     39,                0.47404,                 0.4195,                0.87802,                0.85229,                0.87726,                0.91017,                0.78642,                0.55033,                0.49353,                0.85331,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     40,                0.45915,                0.40846,                0.87148,                0.85159,                 0.8797,                0.91171,                0.78399,                0.56228,                0.48993,                0.85994,             3.7188e-05,             3.7188e-05,             3.7188e-05
