                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7967,                 3.1307,                 1.1679,                0.48464,                0.62012,                0.49758,                0.39794,                 0.7138,                  2.196,                 1.0858,             0.00020747,             0.00020747,             0.00020747
                      2,                0.76119,                 2.0997,                 1.1163,                0.64985,                0.73273,                0.69467,                0.56639,                0.64857,                 1.6965,                 1.0446,             0.00040208,             0.00040208,             0.00040208
                      3,                0.76396,                 1.8038,                 1.1132,                0.67672,                0.70414,                0.73349,                0.58993,                0.71528,                  1.547,                 1.0506,             0.00058294,             0.00058294,             0.00058294
                      4,                0.75934,                 1.5907,                  1.102,                0.67012,                 0.7963,                0.74986,                0.62199,                0.62835,                 1.3681,                0.98853,             0.00056313,             0.00056313,             0.00056313
                      5,                0.73255,                  1.385,                 1.0873,                0.70888,                0.83234,                0.78332,                0.64212,                 0.6808,                  1.138,                 1.0044,             0.00056313,             0.00056313,             0.00056313
                      6,                 0.6984,                 1.2477,                 1.0639,                0.73585,                 0.8676,                0.81689,                 0.6746,                0.64337,                0.96857,                0.97176,              0.0005425,              0.0005425,              0.0005425
                      7,                0.69391,                 1.1733,                 1.0644,                0.76673,                0.83856,                0.82203,                0.68515,                 0.6154,                0.84038,                0.95976,             0.00052188,             0.00052188,             0.00052188
                      8,                0.67649,                 1.0747,                   1.05,                0.74657,                0.87403,                0.82949,                0.69008,                0.63356,                0.79512,                0.96435,             0.00050125,             0.00050125,             0.00050125
                      9,                0.67567,                 1.0327,                 1.0494,                0.78642,                0.85604,                0.83992,                0.70941,                0.59493,                0.75646,                0.95096,             0.00048062,             0.00048062,             0.00048062
                     10,                0.65967,                0.96129,                 1.0427,                0.78558,                0.86429,                0.84787,                0.72177,                0.58011,                0.72006,                0.93864,                0.00046,                0.00046,                0.00046
                     11,                0.65121,                0.92314,                  1.039,                0.80974,                 0.8695,                0.85717,                0.71498,                0.63187,                0.69759,                0.95149,             0.00043937,             0.00043937,             0.00043937
                     12,                0.64359,                 0.8882,                 1.0342,                0.80702,                0.89599,                0.86405,                0.73473,                0.59072,                0.66191,                0.93384,             0.00041875,             0.00041875,             0.00041875
                     13,                0.63078,                0.84872,                 1.0307,                 0.7712,                0.87282,                0.85039,                0.70366,                0.65492,                0.67653,                0.95256,             0.00039813,             0.00039813,             0.00039813
                     14,                0.61818,                0.83316,                 1.0177,                 0.8003,                  0.907,                0.87012,                0.74786,                0.56379,                0.63101,                0.92619,              0.0003775,              0.0003775,              0.0003775
                     15,                0.61805,                0.78381,                 1.0225,                0.79607,                0.88407,                0.87998,                0.74915,                0.59901,                0.62282,                0.94097,             0.00035687,             0.00035687,             0.00035687
                     16,                0.59042,                0.76676,                 1.0057,                0.79037,                0.86978,                0.86739,                0.72434,                 0.6119,                0.64473,                0.94206,             0.00033625,             0.00033625,             0.00033625
                     17,                0.59776,                0.76398,                 1.0058,                 0.8084,                0.88135,                0.86328,                0.72492,                0.59676,                0.64294,                0.94129,             0.00031562,             0.00031562,             0.00031562
                     18,                0.58547,                0.73826,                 1.0037,                0.81918,                0.90822,                0.88454,                0.75595,                0.58272,                0.58182,                0.93459,               0.000295,               0.000295,               0.000295
                     19,                0.57675,                0.71549,                0.99647,                0.81306,                0.90222,                0.89392,                0.75603,                0.58795,                0.58268,                0.92411,             0.00027437,             0.00027437,             0.00027437
                     20,                0.59034,                0.70708,                  1.001,                0.81006,                0.89383,                0.88227,                0.73417,                 0.6249,                0.59059,                0.93288,             0.00025375,             0.00025375,             0.00025375
