                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79977,                 3.9933,                 1.2559,                0.00806,                0.68375,                0.08345,                0.06723,                0.69551,                 3.8843,                 1.2611,              0.0002038,              0.0002038,              0.0002038
                      2,                0.72974,                 2.8191,                 1.2011,                0.79599,                0.13274,                0.15248,                0.10998,                 0.7287,                 3.6187,                 1.2678,             0.00036114,             0.00036114,             0.00036114
                      3,                0.74676,                 2.3523,                 1.1527,                0.83711,                0.22062,                0.21201,                0.17155,                 0.7085,                  3.673,                 1.2973,              0.0004669,              0.0004669,              0.0004669
                      4,                0.70423,                 1.9556,                 1.1328,                0.82529,                0.22818,                0.23377,                 0.1897,                0.75575,                 3.4263,                 1.3201,             0.00039297,             0.00039297,             0.00039297
